이름,유형,리뷰 수,주소,영업 시간,포장 및 반려동물 동반 가능 여부,메뉴
김영모과자점 서초본점,베이커리,999,서울 서초구 효령로 403 서초그랑몰 102호,"[{'day': '월', 'hours': '08:00 - 22:30'}, {'day': '화', 'hours': '08:00 - 22:30'}, {'day': '수', 'hours': '08:00 - 22:30'}, {'day': '목', 'hours': '08:00 - 22:30'}, {'day': '금', 'hours': '08:00 - 22:30'}, {'day': '토', 'hours': '08:00 - 22:30'}, {'day': '일', 'hours': '08:00 - 22:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']"
비밀베이커리 예술의전당점,베이커리,999,서울 서초구 반포대로 4,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 21:00'}, {'day': '일', 'hours': '08:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['잠봉뵈르 샌드위치', '수비드 치킨 샌드위치', '수비드 치킨 샐러드 (+치아바타)', '아메리카노']"
레망도레,베이커리,496,서울 서초구 사평대로26길 9-3 1층,"[{'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '08:00 - 21:00\n20:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['[NO.1] 피스타치오 크림 크로아상', '화이트 카라멜 크림번', '크랜베리 호두 치즈 바게트', '아메리카노']"
베통 신세계백화점 강남점,베이커리,424,서울 서초구 신반포로 176 신세계백화점 강남점 지하1층,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['소금빵', '솔티초코소금빵', '블루베리소금빵']"
JW 메리어트 호텔 서울 더 라운지,"카페,디저트",817,서울 서초구 신반포로 176 JW 메리어트 호텔 서울 8층,"[{'day': '매일', 'hours': '10:00 - 22:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['프리미엄 커피, 티, 케이크, 디저트', '애프터눈티세트 시작가', '딤섬 세트 시작가']"
카카오앤티,초콜릿전문점,73,서울 서초구 서초대로40길 48-20 1층 코너 104호,"[{'day': '월', 'hours': '11:00 - 19:00'}, {'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '12:00 - 17:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['리얼초콜릿 초코송이 Mix', '아몬드 드라제초콜릿', '리얼초코프레첼', '아이스 리얼초콜릿 (음료)']"
테라로사 예술의전당점,카페,999,서울 서초구 남부순환로 2406 예술의전당 비타민 스테이션 1층,"[{'day': '매일', 'hours': '08:30 - 21:00\n20:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['실론시나몬라테', '에스프레소마키아토', '에스프레소더블', '실론시나몬티']"
모멍데모시옹,"카페,디저트",419,서울 서초구 반포대로3길 31 102호,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 18:30'}, {'day': '금', 'hours': '11:00 - 18:30'}, {'day': '토', 'hours': '11:00 - 18:30'}, {'day': '일', 'hours': '11:00 - 18:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['녹차(유기농)', '우롱차']"
파브리끄 양재점,"카페,디저트",701,서울 서초구 서운로6길 25 1층,"[{'day': '월', 'hours': '08:00 - 21:00'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '12:00 - 18:00'}, {'day': '일', 'hours': '12:00 - 18:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['[패스오더전용] 100원 아메리카노', '아인슈페너', '아메리카노', '플랫화이트']"
아펜즈커피 서초교대점,카페,999,"서울 서초구 서초중앙로 119 1, 2층 아펜즈 커피","[{'day': '월', 'hours': '07:00 - 05:00'}, {'day': '화', 'hours': '07:00 - 05:00'}, {'day': '수', 'hours': '07:00 - 05:00'}, {'day': '목', 'hours': '07:00 - 05:00'}, {'day': '금', 'hours': '07:00 - 05:00'}, {'day': '토', 'hours': '09:00 - 05:00'}, {'day': '일', 'hours': '09:00 - 05:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아메리카노(HOT)', '아메리카노(ICE)', '바닐라빈 라떼(HOT)', '바닐라빈 라떼(ICE)']"
투썸플레이스 강남KI타워점,카페,999,서울 서초구 강남대로69길 8 KI타워 2층,"[{'day': '월', 'hours': '08:00 - 24:00'}, {'day': '화', 'hours': '08:00 - 24:00'}, {'day': '수', 'hours': '08:00 - 24:00'}, {'day': '목', 'hours': '08:00 - 24:00'}, {'day': '금', 'hours': '08:00 - 24:00'}, {'day': '토', 'hours': '00:00 - 24:00'}, {'day': '일', 'hours': '00:00 - 24:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['카페아메리카노', '카페라떼', '스페니쉬 연유 라떼', '로얄밀크티']"
까페라리 서초점,카페,694,서울 서초구 서초중앙로2길 37,"[{'day': '월', 'hours': '10:00 - 19:00'}, {'day': '화', 'hours': '10:00 - 19:00'}, {'day': '수', 'hours': '10:00 - 19:00'}, {'day': '목', 'hours': '10:00 - 19:00'}, {'day': '금', 'hours': '10:00 - 19:00'}, {'day': '토', 'hours': '10:00 - 19:00'}, {'day': '일', 'hours': '10:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['오렌지,딸기타르트', '수제벨기에와플', '케이크']"
파리크라상 교대역점,베이커리,999,서울 서초구 서초중앙로24길 27 G-five 플라자 1층,"[{'day': '매일', 'hours': '07:00 - 23:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아이스 아메리카노', '치킨 클럽 샌드위치', '바삭한 소금빵', '스크램블에그 브런치']"
어딕티브,"카페,디저트",420,서울 서초구 주흥15길 5 102호,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '수', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '목', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '금', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '토', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '일', 'hours': '12:00 - 17:00\n16:50 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['핸드드립커피', '브라운 슈패너', '카페 라떼', '꿀꺽(?)']"
fincafe,베이커리,606,서울 서초구 서래로 8 1층 fin,"[{'day': '매일', 'hours': '11:00 - 22:00\n21:15 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['당근케익', '아보카도 샌드위치', '아인슈페너', '히비스커스']"
앨리스프로젝트,"카페,디저트",514,서울 서초구 양재천로 107-4 1층 앨리스프로젝트,"[{'day': '월', 'hours': '12:00 - 19:00'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '12:00 - 19:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '12:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['비트&파슬리', '크럼블 아이스크림 컵(테이크아웃)', '피스타치오 레몬 케이크', '머랭롤라드']"
푸르파파 서초우성직영점,"카페,디저트",229,서울 서초구 강남대로 321 106호,"[{'day': '월', 'hours': '07:00 - 20:00'}, {'day': '화', 'hours': '07:00 - 20:00'}, {'day': '수', 'hours': '07:00 - 20:00'}, {'day': '목', 'hours': '07:00 - 20:00'}, {'day': '금', 'hours': '07:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 20:00'}, {'day': '일', 'hours': '10:00 - 20:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['[패스오더전용] 100원 아메리카노', '아메리카노', '소프트라떼', '시그니처라떼']"
타짜도르 강남점,"카페,디저트",999,서울 서초구 서초대로77길 61 S&G타워 1층,"[{'day': '월', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '화', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 21:00\n20:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['에스프레소 도피오', '그라니따 콘파냐', '녹차', '얼그레이']"
시즈니크 신세계백화점 강남점,케이크전문,481,서울 서초구 신반포로 176 신세계백화점 강남점 지하1층 스위트파크 시즈니크,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['망고 농장 와르르-SIGNATURE', '플로럴 망고 생크림 1호', '과일 농장 와르르-SIGNATURE', '몽땅 생크림 1호']"
커피랑도서관 반포점,스터디카페,291,서울 서초구 고무래로 12 서초빌딩 201호,"[{'day': '매일', 'hours': '00:00 - 24:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['1시간', '2시간', '3시간', '4시간']"
리플렉트커피 로스팅 랩,"카페,디저트",999,서울 서초구 남부순환로347길 53 104호,"[{'day': '월', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '화', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '토', 'hours': '10:00 - 19:00\n18:40 라스트오더'}, {'day': '일', 'hours': '10:00 - 19:00\n18:40 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['두바이초콜릿크럼블', '안녕! 헤이즐', '브루잉커피', '치즈케이크']"
엔트런스,카페,597,서울 서초구 사임당로19길 72-3,"[{'day': '월', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '화', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '수', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '목', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '금', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '토', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 20:00\n19:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['아메리카노', '엔트런스라떼', '플랫화이트', '라떼']"
르팡,베이커리,999,서울 서초구 방배로 268 신삼호종합상가 1층,"[{'day': '월', 'hours': '07:30 - 22:30'}, {'day': '화', 'hours': '07:30 - 22:30'}, {'day': '수', 'hours': '07:30 - 22:30'}, {'day': '목', 'hours': '07:30 - 22:30'}, {'day': '금', 'hours': '07:30 - 22:30'}, {'day': '토', 'hours': '07:30 - 22:30'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['공주밤빵', '먹물식빵', '완두만주', '버터브레첼']"
해이케이크샵,케이크전문,347,서울 서초구 방배천로2안길 96 1층 101호,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 20:00'}, {'day': '금', 'hours': '11:00 - 20:00'}, {'day': '토', 'hours': '11:00 - 20:00'}, {'day': '일', 'hours': '11:00 - 18:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['스노우말차', '하트무화과', '베리플라워', '무화과큐브']"
라바트리 방배,카페,836,서울 서초구 서초대로27길 33 지하 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '수', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 23:00\n22:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['Americano', 'Hand Drip', 'Lemonade', 'Lava Cookie_OG']"
프랑세즈과자점,베이커리,999,서울 서초구 서초중앙로24길 43 유원서초아파트,"[{'day': '월', 'hours': '07:30 - 22:00'}, {'day': '화', 'hours': '07:30 - 22:00'}, {'day': '수', 'hours': '07:30 - 22:00'}, {'day': '목', 'hours': '07:30 - 22:00'}, {'day': '금', 'hours': '07:30 - 22:00'}, {'day': '토', 'hours': '07:30 - 22:00'}, {'day': '일', 'hours': '07:30 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['치즈프리첼', '모카크림치즈번', '옥수수빵']"
에이리셉션,"카페,디저트",999,"서울 서초구 마방로 44-1 1층(양재동, 부광빌딩) 에이리셉션","[{'day': '월', 'hours': '08:00 - 20:00'}, {'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 20:00'}, {'day': '일', 'hours': '10:00 - 20:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['Brownie Cream Latte', 'Salted Snow', 'Einspänner', 'Vienna Coffee']"
떼르드카페 양재점,"카페,디저트",887,서울 서초구 양재천로 111 1층,"[{'day': '월', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '화', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '수', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '목', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '금', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 20:00\n19:30 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['카페 알롱제', '아메리카노', '더블 에스프레소', '카페라떼']"
루스티크,베이커리,892,서울 서초구 반포대로21길 39 산해빌딩 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 21:00'}, {'day': '일', 'hours': '08:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['파네토네', '몽블랑', '애플망고케이크', '호밀100%']"
모센트 양재점,"카페,디저트",363,서울 서초구 양재천로29길 21 1층 102호,"[{'day': '월', 'hours': '10:00 - 21:00'}, {'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['핸드드립', '호주식 카푸치노', '에스프레소', '아메리카노']"
심온,"카페,디저트",623,서울 서초구 양재천로 103-3 1층 심온,"[{'day': '월', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '화', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 22:00\n21:30 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['산호 珊瑚', 'Drip Coffee', '매화 梅花', '흑심 黑心 시.그.니.처.']"
호라이즌 신세계백화점강남점,"카페,디저트",417,서울 서초구 신반포로 176 신세계백화점 강남점 3층,"[{'day': '월', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '화', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '수', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '목', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '금', 'hours': '10:30 - 20:30\n19:30 라스트오더'}, {'day': '토', 'hours': '10:30 - 20:30\n19:30 라스트오더'}, {'day': '일', 'hours': '10:30 - 20:30\n19:30 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['Horizon Salad', 'Ham&Cheese Sandwich', '에스프레소', '시크릿 밸런스']"
OMG coffee & dessert,"카페,디저트",332,서울 서초구 효령로 423 스페이스다온 1층 102호 OMG coffee & dessert,"[{'day': '월', 'hours': '08:00 - 21:00'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 21:00'}, {'day': '일', 'hours': '08:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['와라비모찌', '오리지널 크레이프(조각)', '오리지널 크레이프 홀케이크 1호', '흑임자 피낭시에']"
토다 베이글 양재점,베이글,592,서울 서초구 남부순환로 2567 1층 토다 베이글 양재점,"[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['베이글', '크림치즈', '아보카도 에그 샌드위치', '핫스리 치킨 샌드위치']"
모짜르트502,카페,999,서울 서초구 남부순환로 2406 (예술의전당 내),"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '수', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '목', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '금', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '토', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '일', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['에소프레소', '아메리카노', '라떼', '카푸치노']"
라브르베이크,베이커리,984,서울 서초구 양재천로29길 2 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 22:00\n21:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['아보카도사워도우+그릭요거트+아메리카노', '앙버터 프레첼', '쪽파 프레첼', '바질소금빵']"
햇쌀마루,베이커리,999,서울 서초구 서운로 22 1층 햇쌀마루,"[{'day': '월', 'hours': '08:00 - 21:00'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['단팥빵', '야채빵', '슈크림빵', '시오빵']"
플리퍼스 센트럴시티점,베이커리,999,서울 서초구 신반포로 176 신세계 센트럴시티 1층 115호,"[{'day': '매일', 'hours': '09:30 - 21:30\n20:40 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['플레인 수플레 팬케이크', '후르츠딸기 수플레 팬케이크', '플레인 샌드', '초코바나나샌드']"
뽐므,"카페,디저트",275,서울 서초구 방배천로18길 36-5 1층,"[{'day': '매일', 'hours': '09:00 - 20:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['필터커피', '월넛&크랜베리 치킨 샌드위치', '애플잠봉뵈르샌드위치', '감자샌드위치']"
아티제 삼성타운점,카페,999,서울 서초구 서초대로74길 11 삼성전자 서초사옥 지하1층 B101호,"[{'day': '월', 'hours': '07:00 - 21:00'}, {'day': '화', 'hours': '07:00 - 21:00'}, {'day': '수', 'hours': '07:00 - 21:00'}, {'day': '목', 'hours': '07:00 - 21:00'}, {'day': '금', 'hours': '07:00 - 21:00'}, {'day': '토', 'hours': '09:00 - 21:00'}, {'day': '일', 'hours': '09:00 - 21:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['카페 아메리카노', '카페라떼', '스패니쉬라떼', '플랫화이트']"
미쁘다제빵소,베이커리,836,서울 서초구 방배로4길 6 1층 미쁘다,"[{'day': '월', 'hours': '08:00 - 20:00'}, {'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '08:00 - 20:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['소금빵', '크로아상', '몽블랑', '당근라페샌드위치']"
곤트란쉐리에 서초교대점,베이커리,922,"서울 서초구 서초대로50길 35 1동 1층, 2층","[{'day': '월', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 20:00\n19:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['소금버터빵', '크로와상 에멘탈 샌드위치', '샤케라또', '크림 피넛 버터']"
던킨 강남대로점,도넛,999,"서울 서초구 강남대로 455 (서초동, 강남태영데시앙루브) 1층","[{'day': '매일', 'hours': '07:00 - 23:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['올스타 도넛세트', '버라이어티10EA', '해피 먼치킨컵 (10개)', '블루베리베이글']"
키친205 신세계백화점 강남점,"카페,디저트",204,서울 서초구 신반포로 176,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['딸기밭케이크 미니', '딸기밭케이크 1호']"
피에르마르콜리니 신세계강남점,"카페,디저트",263,서울 서초구 신반포로 176 신세계백화점 강남점 B1 스위트파크,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}",['피에르 마르콜리니 카페 메뉴']
하루한알 방배점,"카페,디저트",483,서울 서초구 방배로28길 7 1층 104호,"[{'day': '월', 'hours': '09:00 - 20:00'}, {'day': '화', 'hours': '09:00 - 20:00'}, {'day': '수', 'hours': '09:00 - 20:00'}, {'day': '목', 'hours': '09:00 - 20:00'}, {'day': '금', 'hours': '09:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 19:00'}, {'day': '일', 'hours': '10:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}",['에그타르트']
티피에이,카페,8,서울 서초구 마방로6길 7-67 1층,"[{'day': '월', 'hours': '08:00 - 18:00'}, {'day': '화', 'hours': '08:00 - 18:00'}, {'day': '수', 'hours': '08:00 - 18:00'}, {'day': '목', 'hours': '08:00 - 18:00'}, {'day': '금', 'hours': '08:00 - 18:00'}, {'day': '토', 'hours': '11:00 - 16:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['롤케익_말차', '롤케익_카라멜', '치즈케익_단호박', '치즈케익_발로나']"
빈브라더스 파미에스테이션,카페,999,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP203호,"[{'day': '매일', 'hours': '10:00 - 22:00\n21:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['드립커피', '에스프레소', '롱블랙', '플랫화이트']"
책그리고,"카페,디저트",258,서울 서초구 방배천로 132 서림빌딩,"[{'day': '월', 'hours': '09:00 - 21:00'}, {'day': '화', 'hours': '09:00 - 21:00'}, {'day': '수', 'hours': '09:00 - 21:00'}, {'day': '목', 'hours': '09:00 - 21:00'}, {'day': '금', 'hours': '09:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 19:00'}, {'day': '일', 'hours': '10:00 - 19:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['그릭요거트', '아메리카노', '아인슈페너', '피칸파이']"
