이름,유형,리뷰 수,주소,영업 시간,포장 및 반려동물 동반 가능 여부,메뉴
리요리요커피,"카페,디저트",742,서울 서초구 방배천로18길 11 아르떼상가 B동 104호 리요리요커피,"[{'day': '월', 'hours': '12:00 - 21:00'}, {'day': '화', 'hours': '12:00 - 21:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '13:00 - 22:00'}]","{'포장 가능': False, '반려동물 동반 가능': True}","['블루로즈', '초이스 크로플', 'Merry HappyBirthday!', '아메리카노(TAKE OUT)']"
토다 베이글 본점,베이글,999,서울 서초구 성촌6길 39,"[{'day': '월', 'hours': '07:30 - 19:00'}, {'day': '화', 'hours': '07:30 - 19:00'}, {'day': '수', 'hours': '07:30 - 19:00'}, {'day': '목', 'hours': '07:30 - 19:00'}, {'day': '금', 'hours': '07:30 - 19:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['베이글', '크림치즈', '감자베이컨 스프', '연어 샐러드']"
MAILLET,"카페,디저트",999,서울 서초구 사평대로22길 14,"[{'day': '매일', 'hours': '11:00 - 21:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['딱뜨 따땅', '딱뜨바니', '밀푀유바니', '마카롱']"
산도,브런치카페,999,서울 서초구 서초대로56길 38 1층,"[{'day': '매일', 'hours': '10:00 - 20:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['가츠산도', '매운가츠산도', '에그산도', '생과일크림산도 (계절과일)']"
앨리스토리커피 양재,"카페,디저트",771,서울 서초구 강남대로16길 16 앨리스토리커피,"[{'day': '월', 'hours': '08:00 - 21:00'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '09:00 - 21:00'}, {'day': '일', 'hours': '09:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['추천 핸드드립', '앨리라떼', '플레인 요거트스무디', '카페라떼/카푸치노']"
피노,"카페,디저트",793,서울 서초구 사평대로57길 39-1 1층,"[{'day': '월', 'hours': '12:00 - 22:00'}, {'day': '화', 'hours': '12:00 - 22:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '13:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['숲라떼', '수제 바스크치즈케이크', '브라운치즈크로플', '알토 크림 라떼']"
쿠운,"카페,디저트",629,서울 서초구 강남대로83길 18 104호,"[{'day': '월', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '화', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '수', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '목', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '금', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '토', 'hours': '12:00 - 21:50\n21:45 라스트오더'}, {'day': '일', 'hours': '12:00 - 21:50\n21:45 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['수제딸기스모어초콜릿(딕만스초콜릿)', '수제 두바이 초콜릿', '가나슈쿠키샌드 휘낭시에', '두바이 초콜릿 휘낭시에']"
미니말레 커피뢰스터 교대법원점,"카페,디저트",999,서울 서초구 서초대로51길 15 1층 미니말레 커피뢰스터 교대법원점,"[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['헬싱키 라떼 (시그니처)', '아메리카노 (밸런스)', '아메리카노 (듄켈)', '라떼']"
김영모과자점 신반포점,베이커리,999,서울 서초구 신반포로 100 래미안 퍼스티지 신반포역상가,"[{'day': '월', 'hours': '08:00 - 22:30'}, {'day': '화', 'hours': '08:00 - 22:30'}, {'day': '수', 'hours': '08:00 - 22:30'}, {'day': '목', 'hours': '08:00 - 22:30'}, {'day': '금', 'hours': '08:00 - 22:30'}, {'day': '토', 'hours': '08:00 - 22:30'}, {'day': '일', 'hours': '08:00 - 22:30'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']"
캐틀앤비 양재점,"카페,디저트",999,서울 서초구 양재천로 131 1층 캐틀앤비,"[{'day': '매일', 'hours': '09:30 - 23:00\n22:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['브런치: 몬테 크리스토', '브런치: 크로크무슈+아메리카노', '갈릭 쉬림프 오일 파스타', '코리안 로제 프라운 파스타']"
