uuid,name,slope,parking_area,number_of_households,area,is_remodeled,construction_year,green_space_area,internet_speed,rating,common_area_cleaning_frequancy,garbage_recycling_frequency,concierge_service,average_price_per_pyeong,newlyweds_benefits,pop,pop_ratio,pop_increase,taxi,income,income_increase,geometry
apartment_1165010615,강변,0.289592552,324,360,1915.23,거짓,1987,19.36255057,,17,매주,매주,1,55113674.77,,624,"[0.394463019, 5.771384871, 10.76528669, 17.17953967, 23.57222156, 21.44080638, 14.69794083, 6.178356987]",16,7,6225.62,2.3,"MultiPolygon (((127.01199292 37.51843241, 127.01237355 37.5181805, 127.0123923 37.51819839, 127.0126162 37.51804657, 127.01271002 37.51806458, 127.01282401 37.5178621, 127.01283249 37.51783597, 127.01289448 37.51782479, 127.01291903 37.51785416, 127.0132"
apartment_1165010201,양재우성,2.829365492,746,794,1501.77,거짓,1991,18.18263245,,17,매주,매주,1,17196440.08,,526,"[0.284936012, 3.469166112, 11.4971726, 18.18895866, 23.66064456, 21.64676174, 15.32791861, 5.924441706]",5,8,5388.38,9.95,"MultiPolygon (((127.03176167 37.47454073, 127.03154091 37.47443473, 127.03147128 37.47438725, 127.03132994 37.47431204, 127.0311734 37.47447077, 127.03102904 37.47438745, 127.03069272 37.47411015, 127.03062 37.47414059, 127.03059816 37.47415796, 127.0305"
apartment_1165010834,마제스타시티힐스테이트서리풀,2.927004814,150,116,45810,거짓,2017,20.99104987,,18,매주,매주,1,62077591.96,,503,"[0.180260678, 4.417850317, 17.89483484, 18.64620671, 20.74959959, 18.35628635, 13.27807801, 6.476883513]",34,12,5632.07,6.77,"MultiPolygon (((127.00632314 37.49047875, 127.00639266 37.49042863, 127.00654493 37.49005401, 127.00560136 37.48993269, 127.00532325 37.48979816, 127.00490278 37.4896821, 127.00483656 37.48972958, 127.00496902 37.49028622, 127.00537296 37.49081119, 127.0"
apartment_1165010311,서초호반써밋,0.86170119,1100,550,4983,거짓,2013,18.47070148,,20,매주,매주,1,36657790.85,,530,"[0.439885505, 5.21257144, 9.342565026, 15.49234628, 21.84158378, 22.35728851, 17.37073876, 7.943020707]",4,1,8479.62,4.03,"MultiPolygon (((127.01148368 37.45579402, 127.01131204 37.45649808, 127.0115533 37.45664148, 127.01193358 37.45680442, 127.01228523 37.45693803, 127.01257145 37.45699016, 127.01298852 37.45703575, 127.01331153 37.45706506, 127.01378583 37.45705849, 127.0"
apartment_1165010827,더샵서초,1.750636101,1125,329,2459,거짓,2006,18.53792725,,21,매주,매주,1,32970046.09,,442,"[0.161523915, 3.387687183, 12.10493902, 17.93503138, 22.14458741, 20.44692791, 15.53099457, 8.288308596]",18,10,6643.67,6.41,"MultiPolygon (((127.01858048 37.48460813, 127.01898665 37.48392698, 127.01897823 37.48388679, 127.01835026 37.48351104, 127.01800001 37.48394515, 127.01773134 37.48379398, 127.01771758 37.48385968, 127.01751553 37.48420633, 127.01858048 37.48460813)))"
apartment_1165010130,방배대우디오빌,1.209979534,437,412,1317.86,거짓,2005,20.76234131,,21,매주,매주,1,20613217.08,,604,"[0.209660499, 4.196072752, 13.73281572, 18.42334117, 19.50423679, 19.2658426, 16.04028993, 8.627740542]",28,8,4493.76,0.21,"MultiPolygon (((126.98462034 37.48626215, 126.98468232 37.48592387, 126.98409584 37.48585457, 126.98405996 37.48603799, 126.98437818 37.48607697, 126.98438144 37.48606399, 126.98441511 37.48606745, 126.98440424 37.48613148, 126.98441835 37.48613407, 126."
apartment_1165010604,신반포자이,0.088106796,977,607,4667.65,거짓,2018,19.4918893,,22,매주,매주,1,79754765.93,,406,"[2.66402964, 7.955647832, 12.93991516, 19.77927726, 25.69830502, 18.022015, 10.04113046, 2.899679619]",12,5,8466.46,25.13,"MultiPolygon (((127.00738498 37.51078192, 127.00839989 37.51121594, 127.00942645 37.50932502, 127.00872774 37.50906818, 127.00849264 37.50947136, 127.00814553 37.5093465, 127.00738498 37.51078192)))"
apartment_1165010640,반포한신타워,0.259242505,250,250,599.03,거짓,1996,19.57413679,,23,매주,매주,1,21094942.96,,686,"[2.964278343, 8.383010854, 13.05782159, 20.3961893, 24.28727817, 16.93623888, 10.58995558, 3.385227292]",9,4,6520.3,15.34,"MultiPolygon (((127.00569312 37.51025184, 127.00553465 37.51017662, 127.00528754 37.51062433, 127.00576667 37.51078857, 127.0055113 37.5112507, 127.00571964 37.51132385, 127.00580295 37.51135402, 127.00625035 37.51150448, 127.00630362 37.51152214, 127.00"
apartment_1165010111,방배현대홈타운3차,0.636082053,219,123,2950.95,거짓,2004,21.33532376,,24,매주,매주,1,29778378.38,,376,"[2.103806513, 9.451605896, 14.37310873, 18.41713605, 22.86406058, 18.15164634, 10.84294574, 3.795690146]",13,15,7314.33,23.33,"MultiPolygon (((126.98419804 37.49197102, 126.98418388 37.49183948, 126.98416225 37.4918415, 126.98415151 37.49177512, 126.98413897 37.49168619, 126.98418172 37.49166962, 126.98419607 37.49166469, 126.98429889 37.49165198, 126.98430089 37.49162176, 126.9"
apartment_1165010710,반포자이,1.381081104,6070,3410,25737,거짓,2009,17.98657227,,24,매주,매주,1,70480406.94,,480,"[0.303925215, 4.699996273, 13.78801444, 18.06410146, 23.04383581, 19.82754177, 14.2826215, 5.989963529]",7,4,14198.86,39.82,"MultiPolygon (((127.0156809 37.50904331, 127.01686537 37.50595652, 127.01756255 37.50413524, 127.0172936 37.50404823, 127.01716749 37.50386747, 127.01710863 37.5037001, 127.01712541 37.50361305, 127.01678927 37.5037537, 127.01549513 37.50443011, 127.0150"
